Area,Frontage,Access Road,Floors,Bedrooms,Bathrooms,Price,Year,Price_Lag_1
84.0,4.5,6.0,4.0,3.0,3.0,8.6,2024,5.872078136888419
60.0,4.5,6.0,5.0,3.0,3.0,7.5,2024,8.6
90.0,6.0,13.0,5.0,3.0,3.0,8.9,2024,7.5
54.0,4.5,3.5,2.0,2.0,3.0,5.35,2024,8.9
92.0,4.5,6.0,2.0,4.0,4.0,6.9,2024,5.35
91.0,7.0,13.0,3.0,3.0,3.0,9.8,2024,6.9
64.0,4.0,6.0,5.0,3.0,3.0,7.2,2024,9.8
74.0,5.0,18.0,5.0,4.0,5.0,9.9,2024,7.2
48.0,4.5,6.0,5.0,6.0,3.0,5.7,2024,9.9
91.0,7.0,6.0,5.0,3.0,3.0,9.5,2024,5.7
80.0,5.0,13.0,5.0,6.0,6.0,10.0,2024,9.5
70.0,6.0,13.0,5.0,6.0,3.0,9.8,2024,10.0
60.0,4.5,6.0,5.0,3.0,3.0,8.9,2024,9.8
91.0,4.5,6.0,3.0,3.0,3.0,8.6,2024,8.9
96.0,6.0,13.0,4.0,3.0,3.0,9.6,2024,8.6
30.0,4.5,6.0,2.0,2.0,2.0,3.79,2024,9.6
300.0,15.0,32.0,3.0,6.0,3.0,9.4,2024,3.79
91.0,7.0,17.0,3.0,3.0,3.0,10.0,2024,9.4
65.0,5.0,20.0,5.0,5.0,4.0,7.8,2024,10.0
46.0,4.6,6.0,4.0,4.0,5.0,7.99,2024,7.8
75.0,5.0,13.0,5.0,7.0,5.0,8.7,2024,7.99
100.0,4.5,6.0,3.0,3.0,3.0,3.3,2024,8.7
84.0,6.0,6.0,5.0,3.0,3.0,9.45,2024,3.3
60.0,3.5,5.0,2.0,6.0,5.0,5.6,2024,9.45
369.0,15.0,12.0,2.0,4.0,4.0,6.3,2024,5.6
75.0,5.0,13.0,3.0,3.0,3.0,7.7,2024,6.3
55.0,5.0,6.0,2.0,4.0,3.0,3.25,2024,7.7
78.0,6.0,6.0,5.0,3.0,3.0,9.59,2024,3.25
67.4,4.0,8.0,5.0,4.0,6.0,9.5,2024,9.59
28.0,4.5,3.0,2.0,2.0,2.0,3.88,2024,9.5
